major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
 253        0    1048576 zram0
   8        0   61919232 sda
   8        1          8 sda1
   8        2      32768 sda2
   8        3       1024 sda3
   8        4        512 sda4
   8        5        512 sda5
   8        6     131072 sda6
   8        7       2048 sda7
   8        8       2048 sda8
   8        9       1024 sda9
   8       10      32768 sda10
   8       11     204800 sda11
   8       12      16384 sda12
   8       13      33424 sda13
   8       14       8192 sda14
   8       15      32768 sda15
 259        0      32768 sda16
 259        1      65536 sda17
 259        2     131072 sda18
 259        3    5242880 sda19
 259        4   55947468 sda20
   8       16      12288 sdb
   8       17      12132 sdb1
   8       32      12288 sdc
   8       33      12132 sdc1
   8       48       4096 sdd
   8       49          4 sdd1
   8       50       3936 sdd2
   8       64     458752 sde
   8       65        512 sde1
   8       66       2048 sde2
   8       67        512 sde3
   8       68        512 sde4
   8       69     112640 sde5
   8       70       1024 sde6
   8       71       4096 sde7
   8       72      32768 sde8
   8       73       3072 sde9
   8       74        512 sde10
   8       75      32768 sde11
   8       76        512 sde12
   8       77        512 sde13
   8       78        128 sde14
   8       79        512 sde15
 259        5       2048 sde16
 259        6        512 sde17
 259        7        512 sde18
 259        8     112640 sde19
 259        9       1024 sde20
 259       10       4096 sde21
 259       11      32768 sde22
 259       12       3072 sde23
 259       13        512 sde24
 259       14      32768 sde25
 259       15        512 sde26
 259       16        512 sde27
 259       17        128 sde28
 259       18         16 sde29
 259       19          4 sde30
 259       20       1024 sde31
 259       21        256 sde32
 259       22        256 sde33
 259       23          4 sde34
 259       24          4 sde35
 259       25       1024 sde36
 259       26       2048 sde37
 259       27      70728 sde38
   8       80      32768 sdf
   8       81       5120 sdf1
   8       82       5120 sdf2
   8       83          4 sdf3
   8       84       5120 sdf4
   8       85      17248 sdf5
   8       96      32768 sdg
   8       97      20480 sdg1
   8       98       1024 sdg2
   8       99       1024 sdg3
   8      100       1024 sdg4
   8      101       1024 sdg5
   8      102       8036 sdg6
 252        0   55947452 dm-0
